Country,Region,Zone,ISO3,Admin2 Pcode,Admin1 Pcode,Events,date
Ethiopia,Oromia,Jimma,ETH,ET0404,ET04,1,2018-06-01
Ethiopia,Afar,Awsi-Zone 1,ETH,ET0201,ET02,3,2018-06-01
Ethiopia,Amhara,North Shewa,ETH,ET0305,ET03,0,2018-06-01
Ethiopia,Amhara,Oromia,ETH,ET0310,ET03,0,2018-06-01
Ethiopia,Gambela,Agnewak,ETH,ET1202,ET12,0,2018-06-01
Ethiopia,Oromia,South West Shewa,ETH,ET0413,ET04,0,2018-06-01
Ethiopia,Oromia,West Guji,ETH,ET0415,ET04,0,2018-06-01
Ethiopia,SNNP,Halaba,ETH,ET0714,ET07,0,2018-06-01
Ethiopia,South West,Konta Special,ETH,ET1106,ET11,0,2018-06-01
Ethiopia,Somali,Daawa,ETH,ET0511,ET05,0,2018-06-01
Ethiopia,Somali,Erer,ETH,ET0504,ET05,0,2018-06-01
Ethiopia,Somali,Nogob,ETH,ET0510,ET05,0,2018-06-01
Ethiopia,Tigray,Eastern Tigray,ETH,ET0103,ET01,1,2018-06-01
Ethiopia,Amhara,North Gondar,ETH,ET0301,ET03,0,2018-06-01
Ethiopia,Amhara,North Wello,ETH,ET0303,ET03,0,2018-06-01
Ethiopia,Gambela,Nuwer,ETH,ET1201,ET12,0,2018-06-01
Ethiopia,Oromia,Ilu Aba Bora,ETH,ET0403,ET04,0,2018-06-01
Ethiopia,Oromia,Kellem Wollega,ETH,ET0418,ET04,1,2018-06-01
Ethiopia,Oromia,West Shewa,ETH,ET0405,ET04,0,2018-06-01
Ethiopia,Oromia,West Wellega,ETH,ET0401,ET04,2,2018-06-01
Ethiopia,SNNP,Yem Special,ETH,ET0724,ET07,0,2018-06-01
Ethiopia,Tigray,South Eastern Tigray,ETH,ET0106,ET01,0,2018-06-01
Ethiopia,Addis Ababa,Region 14,ETH,ET1401,ET14,1,2018-06-01
Ethiopia,Amhara,East Gojam,ETH,ET0306,ET03,0,2018-06-01
Ethiopia,Amhara,West Gojam,ETH,ET0307,ET03,2,2018-06-01
Ethiopia,Amhara,West Gondar,ETH,ET0312,ET03,2,2018-06-01
Ethiopia,Gambela,Itang Special woreda,ETH,ET1204,ET12,0,2018-06-01
Ethiopia,Oromia,Buno Bedele,ETH,ET0416,ET04,0,2018-06-01
Ethiopia,Oromia,Finfine Special,ETH,ET0420,ET04,0,2018-06-01
Ethiopia,Oromia,Horo Gudru Wellega,ETH,ET0419,ET04,0,2018-06-01
Ethiopia,Oromia,North Shewa,ETH,ET0406,ET04,0,2018-06-01
Ethiopia,SNNP,Alle,ETH,ET0712,ET07,0,2018-06-01
Ethiopia,SNNP,Derashe,ETH,ET0723,ET07,0,2018-06-01
